pitcairn         | bpe  1| am  1|  64x1  | {X0, X1, X2, X3, X4, X5}
vega10           | bpe  1| sw 10| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 11| 256x256| {Y0, Y1, Y2, X1, X0, X2, X3, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 16| 256x256| {X0, Y0, X1, Y1, X2, Y2, Y3, X3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 17| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 18| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 19| 256x256| {Y0, Y1, Y2, X1, X0, X2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 20|  64x64 | {X0, Y0, X1, Y1, X2, Y2, Y3, X3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw 21|  64x64 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw 22|  64x64 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw 23|  64x64 | {Y0, Y1, Y2, X1, X0, X2, X3, Y3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw 24| 256x256| {X0, Y0, X1, Y1, X2, Y2, Y3, X3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 25| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 26| 256x256| {X0, X1, X2, Y1, Y0, Y2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  1| sw 27| 256x256| {Y0, Y1, Y2, X1, X0, X2, X3, Y3, X7^Y4, X4^Y7, X6^Y5, X5^Y6, Y6, X6, Y7, X7}
vega10           | bpe  2| sw  0| 128x1  | {0, X0, X1, X2, X3, X4, X5, X6}
vega10           | bpe  2| sw  1|  16x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3}
vega10           | bpe  2| sw  2|  16x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3}
vega10           | bpe  2| sw  3|  16x8  | {0, Y0, Y1, Y2, X0, X1, X2, X3}
vega10           | bpe  2| sw  4|  64x32 | {0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5}
vega10           | bpe  2| sw  5|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
vega10           | bpe  2| sw  6|  64x32 | {0, X0, X1, X2, Y0, Y1, Y2, X3, Y3, X4, Y4, X5}
vega10           | bpe  2| sw  7|  64x32 | {0, Y0, Y1, Y2, X0, X1, X2, X3, Y3, X4, Y4, X5}
vega10           | bpe  2| sw  8| 256x128| {0, X0, Y0, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7}
